,r_s,r_v,t,t_cs
v21-1,-,-,-,194
t21-1,-,-,-,236
v21-2,-,-,-,255
t21-2,-,-,-,100
v21-3,-,-,-,297
t21-7,-,-,-,-
v21-4,-,-,-,-
t21-3,-,-,-,91
t21-4,-,4,264,-
v21-5,-,-,-,63
t21-5,-,-,-,-
v21-6,-,-,-,104
v21-7,-,-,-,51
v21-8,-,-,-,75
v21-9,-,-,-,93
v21-10,-,-,-,-
v21-11,-,-,-,224
v21-12,-,-,-,50
v21-13,-,-,-,-
v21-14,-,-,-,74
v21-15,-,-,-,-
v21-16,-,-,-,32
v21-17,-,-,-,-
v21-18,-,-,-,61
v21-19,-,-,-,225
v21-20,-,-,-,63
v21-21,-,-,-,177
