,r_s,r_v,t,t_cs
v21-1,1,1,22,100
t21-1,15,1,75,97
v21-2,3,3,33,44
t21-2,2,2,33,56
v21-3,59,56,67,166
t21-7,57,1,285,-
v21-4,460,16,37,134
t21-3,-,1,21,153
t21-4,31,7,303,416
v21-5,3,3,260,28
t21-5,517,16,399,-
v21-6,94,4,24,54
v21-7,6,6,17,25
v21-8,4,4,32,36
v21-9,1,1,19,24
v21-10,970,37,24,-
v21-11,1,1,41,48
v21-12,1,1,19,23
v21-13,35,35,41,61
v21-14,-,1,134,141
v21-15,218,3,92,128
v21-16,1,1,173,30
v21-17,9,9,11,25
v21-18,27,9,44,99
v21-19,49,6,44,94
v21-20,1,1,28,35
v21-21,154,1,21,35
