,r_s,r_v,t,t_cs
v21-1,-,-,-,-
t21-1,467,467,403,-
v21-2,-,-,-,-
t21-2,23,23,293,-
v21-3,-,-,-,-
t21-7,-,-,-,-
v21-4,1,1,111,128
t21-3,1,1,243,382
t21-4,-,-,-,321
v21-5,-,-,-,-
t21-5,-,-,-,-
v21-6,1,1,12,63
v21-7,436,436,33,-
v21-8,35,1,179,194
v21-9,13,13,65,-
v21-10,1,1,133,158
v21-11,-,-,-,-
v21-12,1,1,104,121
v21-13,-,-,-,-
v21-14,350,350,49,-
v21-15,15,15,286,-
v21-16,-,-,-,-
v21-17,11,11,83,90
v21-18,4,4,14,90
v21-19,134,134,66,154
v21-20,-,-,-,-
v21-21,21,1,100,118
