,r_s,r_v,t,t_cs
v21-1,-,-,-,-
t21-1,1299,91,239,319
v21-2,-,-,-,-
t21-2,-,6437,154,-
v21-3,10087,12,117,141
t21-7,-,137,99,-
v21-4,-,8,86,131
t21-3,-,27,284,306
t21-4,-,3898,79,-
v21-5,-,-,-,-
t21-5,5447,2373,97,-
v21-6,-,33,37,-
v21-7,1059,1059,42,-
v21-8,-,44,68,-
v21-9,-,175,47,-
v21-10,-,4405,169,-
v21-11,-,-,-,-
v21-12,-,-,-,80
v21-13,-,-,-,-
v21-14,-,-,-,117
v21-15,-,-,-,-
v21-16,-,-,-,-
v21-17,-,-,-,-
v21-18,-,-,-,108
v21-19,-,-,-,170
v21-20,-,-,-,-
v21-21,-,-,-,-
