,r_s,r_v,t,t_cs
v21-1,43,14,138,200
t21-1,42,2,36,-
v21-2,-,52,253,-
t21-2,3,3,31,196
v21-3,152,73,281,-
t21-7,185,6,72,-
v21-4,-,12,63,-
t21-3,-,27,62,240
t21-4,2,2,47,81
v21-5,-,6,13,24
t21-5,190,62,263,-
v21-6,-,74,13,-
v21-7,87,16,38,75
v21-8,35,35,37,49
v21-9,27,27,113,156
v21-10,-,2,127,-
v21-11,-,7,14,38
v21-12,-,1,26,48
v21-13,-,1,221,-
v21-14,-,2,93,103
v21-15,-,1,70,98
v21-16,1,1,15,22
v21-17,17,17,130,147
v21-18,447,1,145,273
v21-19,-,2,77,99
v21-20,-,12,15,46
v21-21,-,11,37,60
